idx,brand,title,model,serie,type,engineVolume,engineType,enginePower,line,year,gearbox,km,gas,price,label,place,location
2880,volkswagen,volkswagen-t-roc-phase-2-2022-auto-57250-km-essence,volkswagen t-roc,phase 2,1.5 TSI 150 R-LINE,1.5,TSI,150,R-LINE,2022,Auto,57250,Essence,27900,Offre équitable,JACQUET AUTOMOBILES,MARGENCEL
2881,volkswagen,volkswagen-t-roc-2022-auto-57256-km-diesel,volkswagen t-roc,,2.0 TDI 150 R-LINE,2.0,TDI,150,R-LINE,2022,Auto,57256,Diesel,29900,Offre équitable,UNIVERS MOTORS,34
2882,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-57315-km-essence,volkswagen tiguan,II phase 2,1.5 TSI 150 LIFE BUSINESS,1.5,TSI,150,LIFE BUSINESS,2022,Auto,57315,Essence,27990,Bonne affaire,AUTOSTYLE LAVAL - COBREDIA,53
2883,skoda,skoda-octavia-iv-2022-auto-57337-km-diesel,skoda octavia,IV,2.0 TDI 150 STYLE,2.0,TDI,150,STYLE,2022,Auto,57337,Diesel,22990,Bonne affaire,AYVENS PARIS SUD,91
2884,skoda,skoda-octavia-iv-rs-2022-manual-57410-km-essence,skoda octavia,IV RS,2.0 TSI 245 RS,2.0,TSI,245,RS,2022,Manuelle,57410,Essence,31090,Offre équitable,AUTOHERO,100% à distance
2885,skoda,skoda-octavia-iv-rs-2022-manual-57410-km-essence,skoda octavia,IV RS,2.0 TSI 245 RS,2.0,TSI,245,RS,2022,Manuelle,57410,Essence,31090,Bonne affaire,AUTOHERO,100% à distance
2886,volkswagen,volkswagen-t-roc-phase-2-2022-manual-57500-km-essence,volkswagen t-roc,phase 2,1.0 TSI 110 LIFE,1.0,TSI,110,LIFE,2022,Manuelle,57500,Essence,18490,Très bonne affaire,RS AUTOMOBILES,83
2887,volkswagen,volkswagen-tiguan-iii-2022-auto-57568-km-essence,volkswagen tiguan,III,1.5 ETSI 150 R-LINE,1.5,ETSI,150,R-LINE,2022,Auto,57568,Essence,32990,Bonne affaire,LESAFFRE AUTOMOBILES,59
2888,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-57692-km-hybrides,volkswagen tiguan,II phase 2,1.4 E-HYBRID 245 R-LINE EXCLUSIVE,1.4,E-HYBRID,245,R-LINE EXCLUSIVE,2022,Auto,57692,Hybrides,33990,Bonne affaire,ORA7 MONTELIMAR,26
2889,skoda,skoda-octavia-iv-2022-auto-57720-km-hybrides,skoda octavia,IV,1.4 TSI 204 AMBITION,1.4,TSI,204,AMBITION,2022,Auto,57720,Hybrides,23890,Offre équitable,JEAN LAIN OCCASIONS SEYSSINET,38
2890,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-57834-km-diesel,volkswagen tiguan,II phase 2,2.0 TDI 150 R-LINE,2.0,TDI,150,R-LINE,2022,Auto,57834,Diesel,35590,Offre équitable,ETS DUHAU,64
2891,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-57840-km-hybrides,volkswagen tiguan,II phase 2,1.4 E-HYBRID 245 R-LINE,1.4,E-HYBRID,245,R-LINE,2022,Auto,57840,Hybrides,29989,Bonne affaire,VOLKSWAGEN LONGEVILLE LES ST AVOLD - VGRF GRAND EST,57
2892,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-57900-km-hybrides,volkswagen tiguan,II phase 2,1.4 E-HYBRID 245 R-LINE EXCLUSIVE,1.4,E-HYBRID,245,R-LINE EXCLUSIVE,2022,Auto,57900,Hybrides,34695,Offre équitable,VOLKSWAGEN ORVAULT - VGRF GRAND OUEST,44
2893,volkswagen,volkswagen-t-roc-phase-2-2022-manual-57990-km-essence,volkswagen t-roc,phase 2,1.0 TSI 110 LIFE PLUS,1.0,TSI,110,LIFE PLUS,2022,Manuelle,57990,Essence,20990,Offre équitable,TRIPLO AUTO,19
2894,skoda,skoda-karoq-phase-2-2022-auto-58000-km-essence,skoda karoq,phase 2,1.5 TSI 150 SPORTLINE,1.5,TSI,150,SPORTLINE,2022,Auto,58000,Essence,26870,Bonne affaire,SKODA MC MOTORS AVIGNON,84
2895,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-58029-km-diesel,volkswagen tiguan,II phase 2,2.0 TDI 150 ELEGANCE,2.0,TDI,150,ELEGANCE,2022,Auto,58029,Diesel,31990,Bonne affaire,AUDI - VALAUTO VALENCIENNES,59
2896,skoda,skoda-octavia-iv-combi-rs-2022-auto-58076-km-hybrides,skoda octavia,IV COMBI RS,1.4 TSI 245 RS,1.4,TSI,245,RS,2022,Auto,58076,Hybrides,27695,Bonne affaire,SKODA CLERMONT FERRAND - VGRF AUVERGNE,63
